#,Company name,Symbol,Price (USD),Market cap (In millions),Sector,Industry,Market,Provided by GlobeFunder.com
280,Digital World Acquisition Corp.,DWAC,$43.10,"$1,563.55",Finance,Financial Conglomerates,NASDAQ,
281,DXC Technology,DXC,$30.50,"$7,693.28",Technology Services,Data Processing Services,NYSE,
282,DexCom Inc,DXCM,$591.96,"$57,373.97",Health Technology,Medical Specialties,NASDAQ,
283,Electronic Arts,EA,$125.97,"$35,625.34",Consumer Durables,Recreational Products,NASDAQ,
284,Eventbrite,EB,$16.22,"$1,541.05",Technology Services,Packaged Software,NYSE,
285,eBay,EBAY,$72.47,"$45,366.49",Consumer Services,Other Consumer Services,NASDAQ,
286,Ecolab,ECL,$226.23,"$64,830.10",Process Industries,Chemicals: Specialty,NYSE,
287,Consolidated Edison,ED,$78.67,"$27,829.40",Utilities,Electric Utilities,NYSE,
288,Editas Medicine,EDIT,$32.37,"$2,214.06",Health Technology,Biotechnology,NASDAQ,
289,New Oriental Education & Tech Group,EDU,$2.23,"$3,784.23",Consumer Services,Other Consumer Services,NYSE,
290,Equifax,EFX,$277.74,"$33,884.70",Commercial Services,Miscellaneous Commercial Services,NYSE,
291,Eldorado Gold Corporation,EGO,$9.29,"$2,122.99",Non-Energy Minerals,Precious Metals,NYSE,
292,Edison International,EIX,$64.94,"$24,671.24",Utilities,Electric Utilities,NYSE,
293,Estee Lauder,EL,$334.35,"$120,348.38",Consumer Non-Durables,Household/Personal Care,NYSE,
294,Elanco Animal Health,ELAN,$30.22,"$14,297.04",Process Industries,Agricultural Commodities/Milling,NYSE,
295,Electric Last Mile Solutions,ELMS,$7.95,$986.02,Producer Manufacturing,Electrical Products,NASDAQ,
296,Emerson,EMR,$90.31,"$53,987.32",Producer Manufacturing,Electrical Products,NYSE,
297,Enersis Americas S.A. American,ENIA,$6.42,"$14,077.20",Utilities,Electric Utilities,NYSE,
298,EnLink Midstream LLC,ENLC,$7.05,"$3,440.10",Industrial Services,Oil & Gas Pipelines,NYSE,
299,Enphase Energy Inc,ENPH,$247.42,"$33,380.03",Electronic Technology,Semiconductors,NASDAQ,
300,EOG Resources,EOG,$87.42,"$51,148.56",Energy Minerals,Oil & Gas Production,NYSE,
301,EPAM Systems,EPAM,$609.00,"$34,542.21",Technology Services,Information Technology Services,NYSE,
302,Enterprise Products Partners,EPD,$21.99,"$47,985.02",Industrial Services,Oil & Gas Pipelines,NYSE,
303,Equity Distribution Acquisition Corp,EQD,$9.83,$508.81,Finance,Financial Conglomerates,NYSE,
304,AXA Equitable Holdings,EQH,$32.45,"$13,134.74",Finance,Financial Conglomerates,NYSE,
305,Equinix,EQIX,$793.84,"$71,478.30",Finance,Real Estate Investment Trusts,NASDAQ,
306,Equinor,EQNR,$24.73,"$80,341.54",Energy Minerals,Integrated Oil,NYSE,
307,Equity Residential,EQR,$84.27,"$31,602.61",Finance,Real Estate Investment Trusts,NYSE,
308,EQT Corporation,EQT,$20.99,"$7,933.27",Energy Minerals,Oil & Gas Production,NYSE,
309,Embraer,ERJ,$13.98,"$14,268.76",Electronic Technology,Aerospace & Defense,NYSE,
310,Element Solutions,ESI,$24.11,"$5,967.31",Process Industries,Chemicals: Major Diversified,NYSE,
311,Energy Transfer Equity,ET,$8.84,"$23,919.76",Industrial Services,Oil & Gas Pipelines,NYSE,
312,E.Merge Technology Acquisition Corp,ETAC,$9.84,$749.81,Finance,Financial Conglomerates,NASDAQ,
313,Entergy Corp,ETR,$103.09,"$20,719.15",Utilities,Electric Utilities,NYSE,
314,Equitrans Midstream,ETRN,$10.29,"$4,450.44",Industrial Services,Oil & Gas Pipelines,NYSE,
315,Etsy,ETSY,$291.38,"$36,881.95",Commercial Services,Miscellaneous Commercial Services,NASDAQ,
316,Evercore,EVR,$143.31,"$6,386.28",Finance,Investment Banks/Brokers,NYSE,
317,Edwards Lifesciences,EW,$109.52,"$68,377.10",Health Technology,Medical Specialties,NYSE,
318,Exact Sciences Corporation,EXAS,$85.46,"$14,726.36",Health Technology,Biotechnology,NASDAQ,
319,Exelon,EXC,$53.43,"$52,271.52",Utilities,Electric Utilities,NASDAQ,
320,Exelixis,EXEL,$17.06,"$5,397.74",Health Technology,Biotechnology,NASDAQ,
321,Expedia,EXPE,$159.80,"$24,214.11",Consumer Services,Other Consumer Services,NASDAQ,
322,Ford,F,$19.75,"$78,925.76",Consumer Durables,Motor Vehicles,NYSE,
323,Diamondback Energy Inc,FANG,$107.48,"$19,472.64",Energy Minerals,Oil & Gas Production,NASDAQ,
324,Fastenal Company,FAST,$60.11,"$34,573.07",Distribution Services,Wholesale Distributors,NASDAQ,
325,Meta Platforms,FB,$333.12,"$926,659.54",Technology Services,Internet Software/Services,NASDAQ,
326,FuelCell Energy,FCEL,$8.94,"$3,277.53",Electronic Technology,Electronic Equipment/Instruments,NASDAQ,
327,Freeport,FCX,$37.24,"$54,685.94",Non-Energy Minerals,Other Metals/Minerals,NYSE,
328,FactSet Research Systems,FDS,$458.49,"$17,258.53",Technology Services,Data Processing Services,NYSE,
329,FedEx,FDX,$238.15,"$63,264.55",Transportation,Air Freight/Couriers,NYSE,
330,FirstEnergy,FE,$37.91,"$20,638.95",Utilities,Electric Utilities,NYSE,
331,FutureFuel,FF,$7.83,$342.67,Process Industries,Chemicals: Specialty,NYSE,
332,F5 Networks,FFIV,$226.25,"$13,853.14",Electronic Technology,Computer Communications,NASDAQ,
333,First Horizon National Corporation,FHN,$16.52,"$8,933.19",Finance,Regional Banks,NYSE,
334,FIS,FIS,$108.01,"$65,771.30",Technology Services,Data Processing Services,NYSE,
335,Fiserv,FISV,$98.25,"$64,867.78",Technology Services,Data Processing Services,NASDAQ,
336,Fifth Third Bancorp,FITB,$42.48,"$29,046.00",Finance,Regional Banks,NASDAQ,
337,Foot Locker,FL,$48.70,"$5,055.43",Retail Trade,Apparel/Footwear Retail,NYSE,
338,Flextronics International,FLEX,$17.56,"$8,264.15",Electronic Technology,Electronic Components,NASDAQ,
339,Fluor Corporation,FLR,$22.06,"$3,119.54",Industrial Services,Engineering & Construction,NYSE,
340,FleetCor Technologies,FLT,$215.15,"$17,469.87",Commercial Services,Miscellaneous Commercial Services,NYSE,
341,FirstMark Horizon Acquisition Corp,FMAC,$9.88,$941.85,Finance,Financial Conglomerates,NYSE,
342,Amicus Therapeutics,FOLD,$10.80,"$3,009.30",Health Technology,Biotechnology,NASDAQ,
343,21st Century Fox,FOXA,$37.62,"$20,864.84",Consumer Services,Broadcasting,NASDAQ,
344,Frequency Therapeutics,FREQ,$5.63,$194.81,Health Technology,Biotechnology,NASDAQ,
345,JFrog Ltd,FROG,$33.13,"$3,193.43",Technology Services,Packaged Software,NASDAQ,
346,Freshworks,FRSH,$35.55,"$9,354.16",Technology Services,Packaged Software,NASDAQ,
347,FS KKR Capital,FSK,$21.22,"$6,046.97",Finance,Investment Managers,NYSE,
348,First Solar,FSLR,$105.92,"$11,262.11",Electronic Technology,Electronic Components,NASDAQ,
349,Fastly,FSLY,$40.53,"$4,762.27",Technology Services,Information Technology Services,NYSE,
350,TechnipFMC plc,FTI,$5.93,"$2,672.65",Industrial Services,Oilfield Services/Equipment,NYSE,
351,Fortinet,FTNT,$327.39,"$53,528.17",Electronic Technology,Computer Communications,NASDAQ,
352,Fortive,FTV,$75.72,"$27,151.49",Electronic Technology,Electronic Equipment/Instruments,NYSE,
353,fuboTV,FUBO,$21.04,"$3,042.04",Technology Services,Internet Software/Services,NYSE,
354,Five Star Senior Living Inc,FVE,$3.35,$106.36,Health Services,Hospital/Nursing Management,NASDAQ,
355,Fiverr,FVRR,$147.55,"$5,392.41",Technology Services,Data Processing Services,NYSE,
356,Liberty Media Group,FWONK,$59.27,"$32,476.98",Consumer Services,Movies/Entertainment,NASDAQ,
357,General Dynamics,GD,$193.37,"$53,993.31",Electronic Technology,Aerospace & Defense,NYSE,
358,GoDaddy,GDDY,$66.79,"$11,122.35",Technology Services,Internet Software/Services,NYSE,
359,GDS Holdings,GDS,$55.55,"$10,622.22",Technology Services,Data Processing Services,NASDAQ,
360,General Electric,GE,$97.84,"$107,441.72",Electronic Technology,Aerospace & Defense,NYSE,
361,The GEO Group,GEO,$8.38,"$1,026.84",Finance,Real Estate Investment Trusts,NYSE,
362,Guess,GES,$22.55,"$1,464.77",Consumer Non-Durables,Apparel/Footwear,NYSE,
363,Getnet,GET,$1.23,-,-,-,NASDAQ,
364,Gold Fields,GFI,$10.69,"$9,501.74",Non-Energy Minerals,Precious Metals,NYSE,
365,Grupo Financiero Galicia,GGAL,$9.15,"$232,249.27",Finance,Regional Banks,NASDAQ,
366,Gerdau S.A.,GGB,$4.55,"$41,116.62",Non-Energy Minerals,Steel,NYSE,
367,Gilead Sciences,GILD,$70.27,"$88,145.49",Health Technology,Biotechnology,NASDAQ,
368,General Mills,GIS,$62.76,"$38,013.25",Consumer Non-Durables,Food: Major Diversified,NYSE,
369,Corning,GLW,$37.96,"$32,395.39",Electronic Technology,Electronic Components,NYSE,
370,General Motors,GM,$60.17,"$87,358.41",Consumer Durables,Motor Vehicles,NYSE,
371,GameStop,GME,$199.72,"$15,276.88",Retail Trade,Electronics/Appliance Stores,NYSE,
372,Globus Medical Inc,GMED,$63.95,"$6,451.95",Health Technology,Medical Specialties,NYSE,
373,Global Net Lease,GNL,$14.49,"$1,501.22",Finance,Real Estate Investment Trusts,NYSE,
374,Gentex,GNTX,$35.58,"$8,415.38",Producer Manufacturing,Auto Parts: OEM,NASDAQ,
375,Genworth Financial,GNW,$3.94,"$1,999.10",Finance,Life/Health Insurance,NYSE,
376,Grocery Outlet Holding,GO,$28.52,"$2,738.41",Retail Trade,Food Retail,NASDAQ,
377,Canoo,GOEV,$12.22,"$2,916.06",Consumer Durables,Motor Vehicles,NASDAQ,
378,Gol Intelligent Airlines,GOL,$5.42,"$4,740.57",Transportation,Airlines,NYSE,
379,Barrick Gold,GOLD,$19.38,"$43,401.60",Non-Energy Minerals,Precious Metals,NYSE,
380,Alphabet (Class C),GOOG,"$2,856.12","$1,891,213.85",Technology Services,Internet Software/Services,NASDAQ,
381,Alphabet (Class A),GOOGL,"$2,843.66","$1,891,213.85",Technology Services,Internet Software/Services,NASDAQ,
382,Graphic Packaging Holding,GPK,$20.80,"$6,387.66",Process Industries,Containers/Packaging,NYSE,
383,Green Plains,GPRE,$38.18,"$2,046.29",Process Industries,Chemicals: Specialty,NASDAQ,
384,GoPro,GPRO,$10.27,"$1,602.08",Consumer Durables,Electronics/Appliances,NASDAQ,
385,GAP,GPS,$17.33,"$6,471.08",Retail Trade,Apparel/Footwear Retail,NYSE,
386,Groupon,GRPN,$22.89,$676.64,Commercial Services,Advertising/Marketing Services,NASDAQ,
387,Just Eat Takeaway,GRUB,$13.66,"$12,724.17",Retail Trade,Specialty Stores,NASDAQ,
388,GrowGeneration,GRWG,$17.99,"$1,075.94",Distribution Services,Wholesale Distributors,NASDAQ,
389,Goldman Sachs,GS,$389.39,"$130,365.01",Finance,Investment Banks/Brokers,NYSE,
390,GlaxoSmithKline plc,GSK,$41.02,"$101,776.40",Health Technology,Pharmaceuticals: Major,NYSE,
391,Goodyear,GT,$20.62,"$5,800.25",Consumer Durables,Automotive Aftermarket,NASDAQ,
392,Gitlab,GTLB,$95.99,"$13,777.91",Technology Services,Packaged Software,NASDAQ,
393,Hyatt Hotels,H,$78.13,"$8,590.74",Consumer Services,Hotels/Resorts/Cruise lines,NYSE,
394,Health Assurance Acquisition Corp,HAAC,$9.83,$541.88,Finance,Financial Conglomerates,NASDAQ,
395,Halliburton,HAL,$21.65,"$19,279.31",Industrial Services,Oilfield Services/Equipment,NYSE,
396,Hasbro,HAS,$98.75,"$13,622.25",Consumer Durables,Recreational Products,NASDAQ,
397,Huntington Bancshares Incorporated,HBAN,$15.37,"$22,232.11",Finance,Regional Banks,NASDAQ,
398,Hanesbrands,HBI,$16.82,"$5,873.62",Consumer Non-Durables,Apparel/Footwear,NYSE,
399,HCA Healthcare,HCA,$231.00,"$71,846.27",Health Services,Hospital/Nursing Management,NYSE,
400,Hutchison China,HCM,$35.18,"$4,626.49",Health Technology,Pharmaceuticals: Major,NASDAQ,
401,Home Depot,HD,$402.70,"$420,515.06",Retail Trade,Home Improvement Chains,NYSE,
402,HDFC Bank.,HDB,$66.88,"$109,408.59",Finance,Regional Banks,NYSE,
403,Heico,HEI,$137.80,"$17,787.29",Electronic Technology,Aerospace & Defense,NYSE,
404,Hess Corporation,HES,$76.04,"$23,551.63",Energy Minerals,Oil & Gas Production,NYSE,
405,HollyFrontier,HFC,$31.73,"$5,156.00",Energy Minerals,Oil Refining/Marketing,NYSE,
406,Hilton Grand Vacations,HGV,$49.22,"$5,898.38",Finance,Real Estate Development,NYSE,
407,Hartford Financial Services Group,HIG,$69.25,"$23,569.47",Finance,Multi-Line Insurance,NYSE,
408,Himax Technologies,HIMX,$9.92,"$1,723.77",Electronic Technology,Semiconductors,NASDAQ,
409,Hecla Mining Co.,HL,$5.58,"$3,002.82",Non-Energy Minerals,Precious Metals,NYSE,
410,Herbalife,HLF,$38.78,"$4,348.51",Distribution Services,Medical Distributors,NYSE,
411,Hilton,HLT,$136.21,"$37,964.67",Consumer Services,Hotels/Resorts/Cruise lines,NYSE,
412,Honda Motor,HMC,$27.98,"$50,800.74",Consumer Durables,Motor Vehicles,NYSE,
413,Harmony Gold Mining Company Limited,HMY,$3.86,"$2,317.81",Non-Energy Minerals,Precious Metals,NYSE,
414,Harley-Davidson,HOG,$37.40,"$5,754.99",Consumer Durables,Motor Vehicles,NYSE,
415,Hologic,HOLX,$76.83,"$19,316.64",Health Technology,Medical Specialties,NASDAQ,
416,Honeywell,HON,$208.21,"$143,748.00",Producer Manufacturing,Industrial Conglomerates,NYSE,
417,Robinhood,HOOD,$27.92,"$24,002.99",Technology Services,Packaged Software,NASDAQ,
418,Hewlett Packard,HPE,$14.43,"$18,875.15",Electronic Technology,Computer Processing Hardware,NYSE,
419,HP,HPQ,$34.58,"$39,854.07",Electronic Technology,Computer Processing Hardware,NYSE,
420,H&R Block,HRB,$25.03,"$4,456.72",Consumer Services,Other Consumer Services,NYSE,
421,Hormel Foods Corporation,HRL,$42.81,"$23,226.86",Consumer Non-Durables,Food: Meat/Fish/Dairy,NYSE,
422,HSBC,HSBC,$27.77,"$112,951.48",Finance,Major Banks,NYSE,
423,Henry Schein,HSIC,$73.64,"$10,211.98",Distribution Services,Medical Distributors,NASDAQ,
424,Host Hotels & Resorts,HST,$16.43,"$11,731.60",Finance,Real Estate Investment Trusts,NASDAQ,
425,Huazhu Group,HTHT,$39.67,"$12,614.06",Consumer Services,Hotels/Resorts/Cruise lines,NASDAQ,
426,Hertz Global Holdings,HTZ,$23.87,"$11,283.07",Finance,Finance/Rental/Leasing,NASDAQ,
427,HubSpot,HUBS,$803.47,"$37,963.88",Technology Services,Information Technology Services,NYSE,
428,Humana,HUM,$428.49,"$55,075.62",Health Services,Managed Health Care,NYSE,
429,Huntsman Corporation,HUN,$32.57,"$7,101.26",Process Industries,Chemicals: Major Diversified,NYSE,
430,HUYA,HUYA,$7.95,"$1,888.47",Technology Services,Packaged Software,NYSE,
431,Howmet Aerospace,HWM,$28.75,"$12,282.52",Non-Energy Minerals,Aluminum,NYSE,
432,Hyzon Motors,HYZN,$8.07,"$1,998.49",Distribution Services,Wholesale Distributors,NASDAQ,
433,Iamgold Corp,IAG,$3.09,"$1,895.36",Non-Energy Minerals,Precious Metals,NYSE,
434,Interactive Brokers,IBKR,$74.33,"$31,525.81",Finance,Investment Banks/Brokers,NASDAQ,
435,IBM,IBM,$115.81,"$103,858.44",Technology Services,Information Technology Services,NYSE,
436,ICICI Bank,IBN,$18.82,"$66,557.55",Finance,Regional Banks,NYSE,
437,Intercontinental Exchange,ICE,$129.68,"$73,062.27",Finance,Investment Banks/Brokers,NYSE,
438,Intercept Pharmaceuticals,ICPT,$17.10,$505.25,Health Technology,Pharmaceuticals: Other,NASDAQ,
439,IDEXX Laboratories,IDXX,$607.52,"$51,513.81",Health Technology,Medical Specialties,NASDAQ,
440,IGM Biosciences,IGMS,$49.64,"$1,611.24",Health Technology,Pharmaceuticals: Major,NASDAQ,
441,International Game Technology,IGT,$27.19,"$5,570.05",Consumer Services,Casinos/Gaming,NYSE,
442,Intercontinental Hotels Group,IHG,$62.76,"$11,582.19",Consumer Services,Hotels/Resorts/Cruise lines,NYSE,
443,Innovative Industrial Properties,IIPR,$266.46,"$6,375.93",Finance,Real Estate Investment Trusts,NYSE,
444,Illumina,ILMN,$369.79,"$57,798.18",Health Technology,Biotechnology,NASDAQ,
445,ImmunoGen,IMGN,$4.81,$974.60,Health Technology,Biotechnology,NASDAQ,
446,Incyte,INCY,$68.38,"$15,104.50",Health Technology,Biotechnology,NASDAQ,
447,indie Semiconductor,INDI,$13.47,"$1,374.57",Finance,Financial Conglomerates,NASDAQ,
448,Infinera Corporation,INFN,$8.16,"$1,720.03",Electronic Technology,Telecommunications Equipment,NASDAQ,
449,Infosys,INFY,$22.20,"$95,161.72",Technology Services,Information Technology Services,NYSE,
450,Inovio Pharmaceuticals In,INO,$7.25,"$1,525.30",Health Technology,Medical Specialties,NASDAQ,
451,Intel,INTC,$48.78,"$197,900.41",Electronic Technology,Semiconductors,NASDAQ,
452,Intuit,INTU,$666.91,"$188,846.83",Technology Services,Packaged Software,NASDAQ,
453,Invitation Homes,INVH,$41.15,"$24,557.02",Finance,Real Estate Investment Trusts,NYSE,
454,International Paper Company,IP,$47.53,"$18,406.61",Process Industries,Containers/Packaging,NYSE,
455,Interpublic Group of Companies,IPG,$33.79,"$13,304.99",Commercial Services,Advertising/Marketing Services,NYSE,
456,Social Capital Hedosophia Holdings Corp IV,IPOD,$10.22,$587.65,Finance,Financial Conglomerates,NYSE,
457,Social Capital Hedosophia Holdings Corp VI,IPOF,$10.26,"$1,474.88",Finance,Financial Conglomerates,NYSE,
458,iQIYI,IQ,$6.54,"$5,130.25",Technology Services,Internet Software/Services,NASDAQ,
459,iRobot,IRBT,$79.70,"$2,148.58",Consumer Durables,Electronics/Appliances,NASDAQ,
460,Iron Mountain,IRM,$46.69,"$13,519.07",Finance,Real Estate Investment Trusts,NYSE,
461,ironSource,IS,$8.94,"$9,076.17",Technology Services,Packaged Software,NYSE,
462,Investors Bancorp,ISBC,$15.42,"$3,820.25",Finance,Savings Banks,NASDAQ,
463,Intuitive Surgical,ISRG,$329.23,"$117,525.93",Health Technology,Medical Specialties,NASDAQ,
464,Gartner,IT,$321.22,"$26,416.81",Commercial Services,Miscellaneous Commercial Services,NYSE,
465,Itaú Unibanco,ITUB,$4.03,"$211,224.40",Finance,Major Banks,NYSE,
466,Illinois Tool Works,ITW,$234.75,"$73,683.49",Producer Manufacturing,Industrial Machinery,NYSE,
467,Invesco Mortgage Capital,IVR,$3.08,$960.16,Finance,Real Estate Investment Trusts,NYSE,
468,Invesco,IVZ,$23.13,"$10,667.70",Finance,Investment Managers,NYSE,
469,Jazz Pharmaceuticals,JAZZ,$124.09,"$7,627.77",Health Technology,Pharmaceuticals: Other,NASDAQ,
470,J.B. Hunt,JBHT,$194.57,"$20,432.54",Transportation,Trucking,NASDAQ,
471,Janus International Group,JBI,$12.81,"$1,877.46",Finance,Financial Conglomerates,NYSE,
472,JetBlue Airways,JBLU,$13.62,"$4,331.57",Transportation,Airlines,NASDAQ,
473,JD.com,JD,$88.67,"$141,261.77",Retail Trade,Internet Retail,NASDAQ,
474,Jefferies Financial Group,JEF,$39.08,"$9,596.53",Finance,Investment Banks/Brokers,NYSE,
475,Jack Henry & Associates,JKHY,$151.14,"$11,190.56",Technology Services,Information Technology Services,NASDAQ,
476,Jinkosolar Holding,JKS,$53.13,"$2,535.88",Producer Manufacturing,Electrical Products,NYSE,
477,Jumia,JMIA,$13.64,"$1,222.55",Technology Services,Internet Software/Services,NYSE,
478,J&J,JNJ,$159.20,"$419,109.28",Health Technology,Pharmaceuticals: Major,NYSE,
479,Juniper Networks,JNPR,$31.45,"$10,226.94",Technology Services,Information Technology Services,NYSE,
480,Joby Aviation,JOBY,$8.39,"$5,066.67",Finance,Financial Conglomerates,NYSE,
481,JPMorgan,JPM,$161.93,"$478,546.04",Finance,Major Banks,NYSE,
482,Nordstrom,JWN,$22.41,"$3,561.46",Retail Trade,Apparel/Footwear Retail,NYSE,
483,Kellogg's,K,$63.64,"$21,709.05",Consumer Non-Durables,Food: Major Diversified,NYSE,
484,KAR Auction Services,KAR,$15.50,"$1,877.89",Commercial Services,Miscellaneous Commercial Services,NYSE,
485,Kyndryl,KD,$16.32,"$3,657.90",Finance,Financial Conglomerates,NYSE,
486,Keurig Dr Pepper,KDP,$34.98,"$49,600.28",Consumer Non-Durables,Beverages: Non-Alcoholic,NASDAQ,
487,KeyCorp.,KEY,$22.90,"$21,321.24",Finance,Major Banks,NYSE,
488,Keysight Technologies,KEYS,$191.37,"$35,249.55",Electronic Technology,Electronic Equipment/Instruments,NYSE,
489,Kinross Gold Corporation,KGC,$6.13,"$9,649.97",Non-Energy Minerals,Precious Metals,NYSE,
490,Kraft Heinz,KHC,$34.83,"$42,633.39",Consumer Non-Durables,Food: Major Diversified,NASDAQ,
491,Kimco Realty Corporation,KIM,$23.24,"$14,325.79",Finance,Real Estate Investment Trusts,NYSE,
492,KKR & Co,KKR,$74.35,"$63,988.26",Finance,Investment Managers,NYSE,
493,Kimberly-Clark,KMB,$135.27,"$45,553.81",Consumer Non-Durables,Household/Personal Care,NYSE,
494,Kinder Morgan,KMI,$16.26,"$39,775.90",Industrial Services,Oil & Gas Pipelines,NYSE,
495,Knight-Swift Transportation Holdings,KNX,$57.39,"$9,524.28",Transportation,Trucking,NYSE,
496,Coca-Cola,KO,$53.73,"$232,082.43",Consumer Non-Durables,Beverages: Non-Alcoholic,NYSE,
497,Katapult Holdings,KPLT,$3.92,$382.09,Finance,Financial Conglomerates,NASDAQ,
498,Kroger Co,KR,$43.14,"$32,080.56",Retail Trade,Food Retail,NYSE,
499,Kohl's,KSS,$53.92,"$8,116.80",Retail Trade,Department Stores,NYSE,
500,KT,KT,$12.76,"$6,712.18",Communications,Major Telecommunications,NYSE,
501,Kratos,KTOS,$20.09,"$2,490.88",Electronic Technology,Aerospace & Defense,NASDAQ,
502,Luminar Technologies,LAZR,$17.63,-,Producer Manufacturing,Auto Parts: OEM,NASDAQ,
503,Lucid Group,LCID,$51.72,"$85,150.05",Finance,Financial Conglomerates,NASDAQ,
504,Leidos Holdings,LDOS,$91.16,"$12,793.33",Technology Services,Information Technology Services,NYSE,
505,Lennar,LEN,$107.04,"$32,383.37",Consumer Durables,Homebuilding,NYSE,
506,Leslies Inc,LESL,$20.82,"$3,951.17",Retail Trade,Specialty Stores,NASDAQ,
507,Levi Strauss & Co,LEVI,$27.20,"$10,935.31",Consumer Non-Durables,Apparel/Footwear,NYSE,
508,Li Auto Inc.,LI,$32.40,"$33,654.56",Producer Manufacturing,Auto Parts: OEM,NASDAQ,
509,Linde,LIN,$320.57,"$164,309.63",Process Industries,Chemicals: Specialty,NYSE,
510,LKQ,LKQ,$57.56,"$16,778.23",Consumer Durables,Automotive Aftermarket,NASDAQ,
511,Eli Lilly,LLY,$260.37,"$249,067.93",Health Technology,Pharmaceuticals: Major,NYSE,
512,Lemonade,LMND,$52.80,"$3,253.93",Finance,Property/Casualty Insurance,NYSE,
513,Lockheed Martin,LMT,$342.72,"$94,517.52",Electronic Technology,Aerospace & Defense,NYSE,
514,Cheniere Energy,LNG,$106.89,"$27,106.06",Industrial Services,Oil & Gas Pipelines,NYSE AMERICAN,
515,Logitech International SA,LOGI,$84.77,"$14,674.14",Electronic Technology,Computer Peripherals,NASDAQ,
516,Loma Negra Compania Industrial Argentina SA,LOMA,$5.99,"$157,649.01",Non-Energy Minerals,Construction Materials,NYSE,
517,Lowe’s,LOW,$247.69,"$166,880.47",Retail Trade,Home Improvement Chains,NYSE,
518,LG Display,LPL,$8.56,"$5,961.34",Electronic Technology,Electronic Production Equipment,NYSE,
519,Lam Research,LRCX,$641.98,"$90,389.88",Electronic Technology,Electronic Production Equipment,NASDAQ,
520,Lattice Semiconductor Corp,LSCC,$75.34,"$10,317.04",Electronic Technology,Semiconductors,NASDAQ,
521,LTC Properties,LTC,$32.27,"$1,270.60",Finance,Real Estate Investment Trusts,NYSE,
522,Livent,LTHM,$29.46,"$4,760.00",Process Industries,Chemicals: Specialty,NYSE,
523,Lululemon,LULU,$456.58,"$59,270.25",Retail Trade,Apparel/Footwear Retail,NASDAQ,
524,Lumen Technologies,LUMN,$13.19,"$13,505.15",Communications,Specialty Telecommunications,NYSE,
525,Southwest Airlines,LUV,$44.96,"$26,612.72",Transportation,Airlines,NYSE,
526,Las Vegas Sands,LVS,$37.87,"$28,932.29",Consumer Services,Casinos/Gaming,NYSE,
527,LexinFintech Holdings,LX,$4.45,$810.81,Finance,Finance/Rental/Leasing,NASDAQ,
528,Lexicon Pharmaceuticals,LXRX,$4.74,$705.77,Health Technology,Biotechnology,NASDAQ,
529,Lyft,LYFT,$42.40,"$14,446.51",Technology Services,Packaged Software,NASDAQ,
530,Live Nation Entertainment,LYV,$103.53,"$23,259.04",Consumer Services,Movies/Entertainment,NYSE,
531,Macy's,M,$30.48,"$9,439.80",Retail Trade,Department Stores,NYSE,
532,Mastercard,MA,$324.17,"$318,515.61",Finance,Finance/Rental/Leasing,NYSE,
533,Manchester United,MANU,$15.49,"$2,550.03",Consumer Services,Movies/Entertainment,NYSE,
534,Marriott,MAR,$147.44,"$48,018.70",Consumer Services,Hotels/Resorts/Cruise lines,NASDAQ,
535,Marathon Digital Holdings,MARA,$49.20,"$5,049.43",Technology Services,Data Processing Services,NASDAQ,
536,Masco Corporation,MAS,$67.08,"$16,373.38",Producer Manufacturing,Building Products,NYSE,
537,Mattel,MAT,$21.97,"$7,697.00",Consumer Durables,Recreational Products,NASDAQ,
538,Maxeon Solar Technologies,MAXN,$19.02,$841.30,Utilities,Alternative Power Generation,NASDAQ,
539,Maxar Technologies,MAXR,$27.52,"$2,083.12",Technology Services,Information Technology Services,NYSE,
540,Mobile TeleSystems PJSC,MBT,$7.97,"$598,394.68",Communications,Wireless Telecommunications,NYSE,
541,McDonald’s,MCD,$250.01,"$186,818.84",Consumer Services,Restaurants,NYSE,
542,McAfee Corp,MCFE,$25.60,"$11,186.06",Technology Services,Packaged Software,NASDAQ,
543,Microchip Technology,MCHP,$80.07,"$44,428.49",Electronic Technology,Semiconductors,NASDAQ,
544,Moody's,MCO,$384.09,"$71,402.33",Commercial Services,Financial Publishing/Services,NYSE,
545,MongoDB,MDB,$518.61,"$34,320.62",Technology Services,Packaged Software,NASDAQ,
546,Mondelez,MDLZ,$60.25,"$84,047.06",Consumer Non-Durables,Food: Major Diversified,NASDAQ,
547,Allscripts Healthcare Solutions,MDRX,$16.59,"$2,033.48",Technology Services,Information Technology Services,NASDAQ,
548,Medtronic,MDT,$111.05,"$149,346.82",Health Technology,Medical Specialties,NYSE,
549,23andMe Holding Co,ME,$9.14,"$3,721.95",Finance,Financial Conglomerates,NASDAQ,
550,MercadoLibre,MELI,"$1,258.71","$63,513.18",Technology Services,Internet Software/Services,NASDAQ,
551,Metlife,MET,$60.10,"$50,553.72",Finance,Life/Health Insurance,NYSE,
552,MFA Financial,MFA,$4.41,"$1,944.49",Finance,Real Estate Investment Trusts,NYSE,
553,Mizuho Financial Group,MFG,$2.47,"$31,195.29",Finance,Major Banks,NYSE,
554,MoneyGram,MGI,$5.83,$534.54,Commercial Services,Miscellaneous Commercial Services,NASDAQ,
555,MGM Resorts,MGM,$41.85,"$19,625.97",Consumer Services,Casinos/Gaming,NYSE,
556,Mimecast,MIME,$77.94,"$5,174.81",Technology Services,Packaged Software,NASDAQ,
